rating,location,amount,ratings,deskripsiRating,jumlahReviews,Fasilitas_Restaurant,Fasilitas_BAR,Fasilitas_Internet,Fasilitas_GYM,Fasilitas_SwimmingPool
8.1 ExcellentFrom 3 reviews,Wanderland,7000,8.1,Excellent,3,True,False,False,False,True
7.2 Very GoodFrom 16 reviews,Willsmian,17000,7.2,Very Good,16,True,True,False,True,True
7.7 Very GoodFrom 46 reviews,Stokol,23000,7.7,Very Good,46,True,True,False,True,True
7.9 Very GoodFrom 24 reviews,Andeman,50000,7.9,Very Good,24,True,True,True,False,True
6.7 Very GoodFrom 29 reviews,Willsmian,10000,6.7,Very Good,29,True,True,False,False,False
,Uberlandia,8000,,,,True,True,False,False,False
,Ubisville,5000,,,,False,True,False,False,False
5.6 GoodFrom 50 reviews,Uberlandia,5000,5.6,Good,50,True,True,True,False,False
,Uberlandia,17000,,,,,,,,
10.0 ExcellentFrom 1 review,Wanderland,15000,10.0,Excellent,1,True,True,False,False,True
8.6 ExcellentFrom 4 reviews,Machlessvile,12800,8.6,Excellent,4,False,True,False,True,True
7.0 Very GoodFrom 17 reviews,Wanderland,16200,7.0,Very Good,17,True,True,False,True,True
6.4 Very GoodFrom 2 reviews,Andeman,6000,6.4,Very Good,2,True,False,True,False,True
5.6 GoodFrom 4 reviews,Hallerson,13000,5.6,Good,4,True,False,False,True,False
7.8 Very GoodFrom 28 reviews,Wanderland,49500,7.8,Very Good,28,True,True,True,False,True
7.8 Very GoodFrom 12 reviews,Uberlandia,9000,7.8,Very Good,12,True,True,False,False,False
7.4 Very GoodFrom 28 reviews,Stokol,40000,7.4,Very Good,28,True,True,False,True,False
8.4 ExcellentFrom 226 reviews,Andeman,43000,8.4,Excellent,226,True,True,False,True,True
5.9 GoodFrom 14 reviews,Stokol,17000,5.9,Good,14,True,False,False,False,True
7.2 Very GoodFrom 2 reviews,Andeman,56000,7.2,Very Good,2,True,True,True,False,False
6.7 Very GoodFrom 10 reviews,Wanderland,14000,6.7,Very Good,10,True,True,False,False,True
,Andeman,2000,,,,True,False,False,False,False
,Stokol,1800,,,,,,,,
,Stokol,5000,,,,True,False,False,False,False
10.0 ExcellentFrom 1 review,Wanderland,20000,10.0,Excellent,1,,,,,
7.1 Very GoodFrom 13 reviews,Wanderland,20000,7.1,Very Good,13,True,False,False,False,False
8.0 ExcellentFrom 2 reviews,Stokol,18000,8.0,Excellent,2,True,False,False,False,False
7.4 Very GoodFrom 12 reviews,Uberlandia,10000,7.4,Very Good,12,True,False,False,False,False
7.0 Very GoodFrom 6 reviews,Hallerson,32000,7.0,Very Good,6,True,True,False,True,True
5.8 GoodFrom 10 reviews,Stokol,3000,5.8,Good,10,True,True,False,False,False
5.6 GoodFrom 1 review,Wanderland,3000,5.6,Good,1,True,True,False,False,False
7.2 Very GoodFrom 25 reviews,Willsmian,15000,7.2,Very Good,25,False,True,True,False,False
7.8 Very GoodFrom 14 reviews,Wanderland,30000,7.8,Very Good,14,True,True,True,True,True
,Andeman,3000,,,,False,True,False,False,False
6.2 Very GoodFrom 7 reviews,Uberlandia,7500,6.2,Very Good,7,True,True,True,False,False
6.4 Very GoodFrom 1 review,Andeman,3500,6.4,Very Good,1,True,True,False,False,False
,Stokol,7000,,,,True,True,True,True,True
,Stokol,23050,,,,,,,,
6.3 Very GoodFrom 14 reviews,Ubisville,15000,6.3,Very Good,14,True,False,False,False,True
8.2 ExcellentFrom 20 reviews,Hallerson,20000,8.2,Excellent,20,True,True,True,False,False
7.6 Very GoodFrom 1 review,Willsmian,5000,7.6,Very Good,1,False,True,False,False,False
10.0 ExcellentFrom 1 review,Uberlandia,25000,10.0,Excellent,1,False,True,False,False,True
6.8 Very GoodFrom 1 review,Willsmian,17000,6.8,Very Good,1,True,True,True,False,False
,Stokol,1800,,,,,,,,
7.1 Very GoodFrom 9 reviews,Wanderland,9000,7.1,Very Good,9,True,True,False,False,False
6.0 Very GoodFrom 1 review,Andeman,7900,6.0,Very Good,1,True,True,False,False,False
6.7 Very GoodFrom 10 reviews,Hallerson,14000,6.7,Very Good,10,True,True,False,False,True
8.4 ExcellentFrom 1 review,Wanderland,2500,8.4,Excellent,1,True,True,False,False,False
7.2 Very GoodFrom 44 reviews,Machlessvile,30000,7.2,Very Good,44,True,True,True,True,False
7.0 Very GoodFrom 6 reviews,Wanderland,32000,7.0,Very Good,6,True,True,False,True,True
6.1 Very GoodFrom 8 reviews,Wanderland,8000,6.1,Very Good,8,True,True,False,True,True
4.0 GoodFrom 8 reviews,Willsmian,2500,4.0,Good,8,True,True,False,False,False
7.9 Very GoodFrom 10 reviews,Stokol,59000,7.9,Very Good,10,True,True,True,False,False
4.2 GoodFrom 4 reviews,Machlessvile,4500,4.2,Good,4,True,True,False,False,False
8.0 ExcellentFrom 6 reviews,Hallerson,20000,8.0,Excellent,6,True,True,False,False,False
,Stokol,30000,,,,,,,,
5.8 GoodFrom 2 reviews,Machlessvile,25000,5.8,Good,2,False,True,False,False,False
,Ubisville,3500,,,,False,True,False,False,False
,Willsmian,1700,,,,True,True,False,False,False
6.8 Very GoodFrom 21 reviews,Uberlandia,8800,6.8,Very Good,21,True,True,True,False,False
8.7 ExcellentFrom 5 reviews,Wanderland,33000,8.7,Excellent,5,True,True,False,True,True
8.9 ExcellentFrom 11 reviews,Willsmian,18000,8.9,Excellent,11,False,False,True,False,False
6.7 Very GoodFrom 10 reviews,Hallerson,35000,6.7,Very Good,10,False,True,True,False,False
7.8 Very GoodFrom 10 reviews,Wanderland,7560,7.8,Very Good,10,True,True,False,False,False
6.8 Very GoodFrom 94 reviews,Hallerson,17500,6.8,Very Good,94,True,True,False,False,False
8.2 ExcellentFrom 97 reviews,Stokol,16000,8.2,Excellent,97,True,False,True,False,True
,Stokol,54450,,,,True,True,False,False,False
8.8 ExcellentFrom 1 review,Ubisville,8000,8.8,Excellent,1,True,True,False,False,False
7.1 Very GoodFrom 2 reviews,Wanderland,9500,7.1,Very Good,2,True,False,True,False,False
9.3 ExcellentFrom 4 reviews,Uberlandia,35000,9.3,Excellent,4,True,False,False,True,True
,Ubisville,7000,,,,True,False,False,False,False
7.9 Very GoodFrom 24 reviews,Wanderland,50000,7.9,Very Good,24,True,True,False,False,True
6.4 Very GoodFrom 1 review,Andeman,10000,6.4,Very Good,1,,,,,
7.2 Very GoodFrom 6 reviews,Hallerson,25000,7.2,Very Good,6,True,True,True,True,True
5.2 GoodFrom 28 reviews,Andeman,40326,5.2,Good,28,True,True,False,False,True
5.7 GoodFrom 37 reviews,Wanderland,30000,5.7,Good,37,True,True,False,True,True
8.0 ExcellentFrom 6 reviews,Uberlandia,20000,8.0,Excellent,6,True,True,False,False,False
5.6 GoodFrom 1 review,Uberlandia,4500,5.6,Good,1,True,True,False,False,False
6.5 Very GoodFrom 12 reviews,Wanderland,10000,6.5,Very Good,12,True,True,False,False,False
6.2 Very GoodFrom 10 reviews,Hallerson,4000,6.2,Very Good,10,True,True,False,False,False
8.0 ExcellentFrom 9 reviews,Machlessvile,25000,8.0,Excellent,9,True,True,False,False,True
4.9 GoodFrom 30 reviews,Andeman,19720,4.9,Good,30,True,False,True,False,False
,Stokol,10000,,,,True,True,False,True,False
6.8 Very GoodFrom 14 reviews,Ubisville,9750,6.8,Very Good,14,True,True,False,True,True
,Willsmian,10000,,,,True,False,False,False,True
4.9 GoodFrom 5 reviews,Andeman,4400,4.9,Good,5,True,True,False,False,False
7.7 Very GoodFrom 14 reviews,Wanderland,18000,7.7,Very Good,14,True,True,False,False,True
7.1 Very GoodFrom 3 reviews,Wanderland,9000,7.1,Very Good,3,True,True,False,False,False
8.0 ExcellentFrom 7 reviews,Wanderland,10000,8.0,Excellent,7,True,True,False,False,False
,Hallerson,16100,,,,False,False,False,True,True
3.9 FairFrom 3 reviews,Hallerson,7000,3.9,Fair,3,True,True,False,False,False
7.5 Very GoodFrom 16 reviews,Hallerson,17000,7.5,Very Good,16,False,True,True,True,False
9.5 ExcellentFrom 4 reviews,Uberlandia,14997,9.5,Excellent,4,False,True,False,True,True
6.7 Very GoodFrom 29 reviews,Stokol,10000,6.7,Very Good,29,True,True,False,False,False
7.0 Very GoodFrom 14 reviews,Willsmian,5000,7.0,Very Good,14,True,True,True,False,False
7.6 Very GoodFrom 6 reviews,Uberlandia,30000,7.6,Very Good,6,True,True,False,True,True
,Ubisville,54450,,,,True,True,True,False,False
8.3 ExcellentFrom 20 reviews,Andeman,11000,8.3,Excellent,20,True,False,False,False,False
8.0 ExcellentFrom 2 reviews,Willsmian,18000,8.0,Excellent,2,True,False,False,False,False
,Machlessvile,13000,,,,True,True,False,False,False
7.0 Very GoodFrom 6 reviews,Wanderland,45000,7.0,Very Good,6,False,True,False,False,True
10.0 ExcellentFrom 1 review,Stokol,36000,10.0,Excellent,1,True,True,False,True,True
6.6 Very GoodFrom 14 reviews,Stokol,11000,6.6,Very Good,14,False,True,True,False,False
6.0 Very GoodFrom 43 reviews,Andeman,15000,6.0,Very Good,43,,,,,
6.3 Very GoodFrom 14 reviews,Machlessvile,15000,6.3,Very Good,14,True,False,True,False,True
6.6 Very GoodFrom 14 reviews,Andeman,11000,6.6,Very Good,14,False,True,True,False,False
7.3 Very GoodFrom 41 reviews,Machlessvile,11000,7.3,Very Good,41,True,True,False,False,True
7.4 Very GoodFrom 18 reviews,Uberlandia,15000,7.4,Very Good,18,True,True,False,False,False
5.6 GoodFrom 1 review,Machlessvile,5400,5.6,Good,1,True,True,False,False,False
7.8 Very GoodFrom 4 reviews,Andeman,10000,7.8,Very Good,4,True,True,False,False,False
8.3 ExcellentFrom 11 reviews,Hallerson,27000,8.3,Excellent,11,True,True,True,True,True
8.0 ExcellentFrom 25 reviews,Hallerson,25000,8.0,Excellent,25,True,True,True,False,True
7.0 Very GoodFrom 39 reviews,Stokol,15000,7.0,Very Good,39,True,True,False,False,False
,Machlessvile,2800,,,,,,,,
8.0 ExcellentFrom 4 reviews,Willsmian,9000,8.0,Excellent,4,True,True,False,False,False
From 1 review,Ubisville,7500,,,1,True,True,False,False,False
,Willsmian,6000,,,,,,,,
,Stokol,6000,,,,,,,,
6.0 Very GoodFrom 43 reviews,Hallerson,15000,6.0,Very Good,43,,,,,
9.3 ExcellentFrom 3 reviews,Wanderland,88600,9.3,Excellent,3,True,True,False,True,True
6.4 Very GoodFrom 49 reviews,Wanderland,20000,6.4,Very Good,49,False,True,False,False,True
6.2 Very GoodFrom 2 reviews,Hallerson,3500,6.2,Very Good,2,,,,,
5.2 GoodFrom 3 reviews,Stokol,26875,5.2,Good,3,True,True,False,True,True
6.3 Very GoodFrom 34 reviews,Andeman,11500,6.3,Very Good,34,True,True,False,False,False
6.3 Very GoodFrom 14 reviews,Wanderland,15000,6.3,Very Good,14,True,False,False,False,True
6.7 Very GoodFrom 10 reviews,Andeman,35000,6.7,Very Good,10,False,True,True,False,False
,Stokol,1500,,,,,,,,
7.2 Very GoodFrom 10 reviews,Willsmian,63000,7.2,Very Good,10,True,True,False,True,True
,Hallerson,3500,,,,,,,,
8.4 ExcellentFrom 1 review,Stokol,15000,8.4,Excellent,1,True,True,False,False,False
,Willsmian,20000,,,,False,False,False,False,True
7.7 Very GoodFrom 46 reviews,Willsmian,23000,7.7,Very Good,46,True,True,False,True,True
,Uberlandia,7000,,,,True,False,False,False,False
5.5 GoodFrom 8 reviews,Stokol,7000,5.5,Good,8,False,True,False,True,True
7.4 Very GoodFrom 43 reviews,Willsmian,11500,7.4,Very Good,43,False,True,False,False,False
6.7 Very GoodFrom 1 review,Hallerson,3000,6.7,Very Good,1,True,True,True,False,False
6.1 Very GoodFrom 4 reviews,Wanderland,6000,6.1,Very Good,4,True,True,False,False,False
8.9 ExcellentFrom 11 reviews,Andeman,18000,8.9,Excellent,11,False,False,True,False,False
6.7 Very GoodFrom 32 reviews,Hallerson,55537,6.7,Very Good,32,True,True,False,True,True
7.8 Very GoodFrom 25 reviews,Wanderland,15000,7.8,Very Good,25,True,True,True,True,True
8.8 ExcellentFrom 36 reviews,Uberlandia,25000,8.8,Excellent,36,False,True,False,False,True
7.0 Very GoodFrom 2 reviews,Uberlandia,20000,7.0,Very Good,2,True,True,False,True,True
8.7 ExcellentFrom 7 reviews,Hallerson,12500,8.7,Excellent,7,True,True,True,True,True
8.0 ExcellentFrom 1 review,Andeman,5500,8.0,Excellent,1,,,,,
8.7 ExcellentFrom 5 reviews,Willsmian,33000,8.7,Excellent,5,True,True,False,True,True
6.1 Very GoodFrom 8 reviews,Andeman,8000,6.1,Very Good,8,True,True,False,True,True
7.8 Very GoodFrom 28 reviews,Andeman,49500,7.8,Very Good,28,True,True,False,False,True
7.1 Very GoodFrom 3 reviews,Hallerson,4000,7.1,Very Good,3,True,True,True,False,False
7.8 Very GoodFrom 28 reviews,Andeman,49500,7.8,Very Good,28,True,True,True,False,True
7.7 Very GoodFrom 14 reviews,Wanderland,18000,7.7,Very Good,14,True,True,False,False,True
8.1 ExcellentFrom 4 reviews,Uberlandia,30500,8.1,Excellent,4,True,True,True,False,False
6.2 Very GoodFrom 7 reviews,Machlessvile,7500,6.2,Very Good,7,True,True,True,False,False
6.6 Very GoodFrom 16 reviews,Andeman,13000,6.6,Very Good,16,True,True,True,False,False
8.0 ExcellentFrom 9 reviews,Hallerson,25000,8.0,Excellent,9,True,True,False,False,True
7.6 Very GoodFrom 9 reviews,Hallerson,9000,7.6,Very Good,9,True,True,False,False,False
6.0 Very GoodFrom 79 reviews,Stokol,5500,6.0,Very Good,79,True,False,False,False,False
,Wanderland,6500,,,,True,True,False,False,False
8.3 ExcellentFrom 11 reviews,Andeman,27000,8.3,Excellent,11,True,True,True,True,True
6.9 Very GoodFrom 17 reviews,Machlessvile,13500,6.9,Very Good,17,True,True,False,False,False
8.8 ExcellentFrom 2 reviews,Hallerson,37250,8.8,Excellent,2,True,True,False,True,True
6.6 Very GoodFrom 14 reviews,Wanderland,11000,6.6,Very Good,14,False,True,True,False,False
9.1 ExcellentFrom 12 reviews,Uberlandia,37200,9.1,Excellent,12,True,False,True,False,True
6.9 Very GoodFrom 23 reviews,Machlessvile,17000,6.9,Very Good,23,True,True,True,True,True
,Uberlandia,5000,,,,False,True,False,False,False
,Machlessvile,3500,,,,False,True,False,False,False
7.4 Very GoodFrom 4 reviews,Wanderland,15000,7.4,Very Good,4,True,True,False,False,False
6.0 Very GoodFrom 1 review,Willsmian,7900,6.0,Very Good,1,True,True,False,False,False
6.4 Very GoodFrom 49 reviews,Machlessvile,20000,6.4,Very Good,49,False,True,False,False,True
,Wanderland,6000,,,,True,True,True,False,False
,Machlessvile,3600,,,,True,True,False,False,False
6.5 Very GoodFrom 7 reviews,Stokol,4500,6.5,Very Good,7,True,True,False,False,False
8.7 ExcellentFrom 5 reviews,Andeman,33000,8.7,Excellent,5,True,True,False,True,True
6.6 Very GoodFrom 14 reviews,Machlessvile,11000,6.6,Very Good,14,False,True,False,False,False
7.1 Very GoodFrom 10 reviews,Machlessvile,11000,7.1,Very Good,10,True,True,False,False,False
5.8 GoodFrom 6 reviews,Stokol,25000,5.8,Good,6,True,True,False,False,True
6.4 Very GoodFrom 49 reviews,Hallerson,20000,6.4,Very Good,49,False,True,False,False,True
8.0 ExcellentFrom 6 reviews,Wanderland,20000,8.0,Excellent,6,True,True,False,False,False
5.9 GoodFrom 3 reviews,Hallerson,6500,5.9,Good,3,True,False,True,False,True
7.7 Very GoodFrom 6 reviews,Hallerson,44203,7.7,Very Good,6,True,True,True,True,True
8.5 ExcellentFrom 5 reviews,Wanderland,3500,8.5,Excellent,5,True,True,False,False,False
6.5 Very GoodFrom 32 reviews,Hallerson,15000,6.5,Very Good,32,True,True,False,True,False
8.1 ExcellentFrom 31 reviews,Uberlandia,14000,8.1,Excellent,31,True,True,True,False,False
8.4 ExcellentFrom 1 review,Stokol,2500,8.4,Excellent,1,True,True,False,False,False
,Machlessvile,6000,,,,,,,,
8.0 ExcellentFrom 8 reviews,Willsmian,40000,8.0,Excellent,8,True,True,True,False,False
6.9 Very GoodFrom 10 reviews,Andeman,18000,6.9,Very Good,10,False,True,True,False,False
6.0 Very GoodFrom 9 reviews,Machlessvile,35000,6.0,Very Good,9,True,True,False,True,True
7.4 Very GoodFrom 145 reviews,Willsmian,17000,7.4,Very Good,145,True,True,True,False,True
7.0 Very GoodFrom 17 reviews,Stokol,16200,7.0,Very Good,17,True,True,False,True,True
7.2 Very GoodFrom 2 reviews,Andeman,15000,7.2,Very Good,2,True,True,False,False,False
,Stokol,10000,,,,True,False,False,False,True
7.9 Very GoodFrom 59 reviews,Stokol,20500,7.9,Very Good,59,True,True,False,False,False
,Uberlandia,2800,,,,,,,,
6.4 Very GoodFrom 1 review,Ubisville,10000,6.4,Very Good,1,,,,,
8.0 ExcellentFrom 3 reviews,Andeman,11800,8.0,Excellent,3,True,True,False,False,False
5.8 GoodFrom 2 reviews,Hallerson,25000,5.8,Good,2,False,True,False,False,False
6.9 Very GoodFrom 13 reviews,Andeman,21000,6.9,Very Good,13,False,True,False,True,True
,Machlessvile,8000,,,,,,,,
8.0 ExcellentFrom 6 reviews,Machlessvile,11500,8.0,Excellent,6,True,True,False,False,False
7.2 Very GoodFrom 16 reviews,Uberlandia,17000,7.2,Very Good,16,True,True,False,True,True
8.4 ExcellentFrom 1 review,Uberlandia,14000,8.4,Excellent,1,True,True,True,False,False
6.3 Very GoodFrom 34 reviews,Hallerson,11500,6.3,Very Good,34,True,True,False,False,False
7.2 Very GoodFrom 39 reviews,Stokol,9200,7.2,Very Good,39,True,True,True,False,False
2.4 FairFrom 4 reviews,Ubisville,8000,2.4,Fair,4,True,True,True,False,True
7.3 Very GoodFrom 61 reviews,Wanderland,12000,7.3,Very Good,61,False,True,True,False,True
,Andeman,8000,,,,True,True,False,False,True
,Machlessvile,2000,,,,True,False,False,False,False
7.2 Very GoodFrom 4 reviews,Machlessvile,69569,7.2,Very Good,4,True,True,True,True,True
7.5 Very GoodFrom 8 reviews,Wanderland,16000,7.5,Very Good,8,True,True,False,False,False
7.3 Very GoodFrom 41 reviews,Stokol,11000,7.3,Very Good,41,True,True,False,False,True
5.8 GoodFrom 8 reviews,Hallerson,6000,5.8,Good,8,True,True,True,False,False
,Andeman,20000,,,,,,,,
,Stokol,8000,,,,True,True,False,False,False
,Hallerson,15000,,,,True,True,True,False,False
10.0 ExcellentFrom 1 review,Stokol,13225,10.0,Excellent,1,True,True,False,False,False
4.3 GoodFrom 3 reviews,Stokol,2250,4.3,Good,3,False,True,False,False,False
,Stokol,31625,,,,False,True,True,False,False
6.9 Very GoodFrom 10 reviews,Wanderland,18000,6.9,Very Good,10,False,True,True,False,False
,Hallerson,4250,,,,True,False,False,False,False
8.2 ExcellentFrom 13 reviews,Andeman,32000,8.2,Excellent,13,False,True,True,True,True
7.4 Very GoodFrom 4 reviews,Andeman,15000,7.4,Very Good,4,True,True,False,False,False
7.9 Very GoodFrom 24 reviews,Wanderland,50000,7.9,Very Good,24,True,True,True,False,True
8.4 ExcellentFrom 3 reviews,Wanderland,10000,8.4,Excellent,3,False,False,True,False,False
8.7 ExcellentFrom 7 reviews,Willsmian,12500,8.7,Excellent,7,True,True,True,True,True
6.4 Very GoodFrom 16 reviews,Wanderland,10000,6.4,Very Good,16,True,True,False,False,False
7.7 Very GoodFrom 10 reviews,Stokol,5000,7.7,Very Good,10,False,False,True,False,False
6.0 Very GoodFrom 79 reviews,Hallerson,5500,6.0,Very Good,79,True,False,False,False,False
6.3 Very GoodFrom 17 reviews,Andeman,7000,6.3,Very Good,17,True,True,False,False,False
7.7 Very GoodFrom 18 reviews,Uberlandia,20000,7.7,Very Good,18,False,False,True,False,False
9.8 ExcellentFrom 4 reviews,Stokol,64800,9.8,Excellent,4,True,True,True,False,True
,Uberlandia,3700,,,,,,,,
5.8 GoodFrom 10 reviews,Willsmian,3000,5.8,Good,10,True,True,False,False,False
8.1 ExcellentFrom 36 reviews,Uberlandia,3800,8.1,Excellent,36,True,True,False,False,False
7.1 Very GoodFrom 13 reviews,Willsmian,20000,7.1,Very Good,13,True,False,True,False,False
5.7 GoodFrom 6 reviews,Wanderland,16500,5.7,Good,6,True,False,True,False,False
,Uberlandia,20000,,,,False,False,False,False,True
7.5 Very GoodFrom 35 reviews,Wanderland,67000,7.5,Very Good,35,True,True,True,False,True
6.8 Very GoodFrom 8 reviews,Wanderland,20000,6.8,Very Good,8,True,True,False,False,False
7.0 Very GoodFrom 23 reviews,Andeman,20000,7.0,Very Good,23,True,True,False,False,False
8.7 ExcellentFrom 15 reviews,Andeman,35000,8.7,Excellent,15,True,True,False,False,True
6.1 Very GoodFrom 4 reviews,Stokol,6000,6.1,Very Good,4,True,True,False,False,False
,Uberlandia,2500,,,,True,True,False,False,False
8.9 ExcellentFrom 11 reviews,Uberlandia,18000,8.9,Excellent,11,False,False,True,False,False
8.0 ExcellentFrom 7 reviews,Uberlandia,44000,8.0,Excellent,7,True,False,True,False,False
7.3 Very GoodFrom 13 reviews,Andeman,7000,7.3,Very Good,13,True,True,False,False,False
6.4 Very GoodFrom 2 reviews,Willsmian,6000,6.4,Very Good,2,True,False,True,False,True
6.6 Very GoodFrom 7 reviews,Willsmian,10000,6.6,Very Good,7,True,True,False,False,False
6.3 Very GoodFrom 30 reviews,Willsmian,22000,6.3,Very Good,30,True,True,False,False,False
,Uberlandia,3600,,,,True,True,False,False,False
3.9 FairFrom 3 reviews,Andeman,7000,3.9,Fair,3,True,True,False,False,False
8.9 ExcellentFrom 3 reviews,Stokol,20000,8.9,Excellent,3,True,True,False,False,True
7.2 Very GoodFrom 25 reviews,Stokol,15000,7.2,Very Good,25,False,True,True,False,False
,Ubisville,25000,,,,False,False,True,False,False
6.4 Very GoodFrom 34 reviews,Wanderland,5500,6.4,Very Good,34,True,True,False,False,False
,Wanderland,6000,,,,,,,,
,Stokol,8000,,,,,,,,
,Stokol,3000,,,,False,True,False,False,False
7.6 Very GoodFrom 2 reviews,Ubisville,27000,7.6,Very Good,2,False,False,True,True,True
7.2 Very GoodFrom 39 reviews,Uberlandia,9200,7.2,Very Good,39,True,True,False,False,False
,Willsmian,3600,,,,True,True,False,False,False
8.3 ExcellentFrom 4 reviews,Willsmian,35000,8.3,Excellent,4,,,,,
6.7 Very GoodFrom 1 review,Willsmian,3000,6.7,Very Good,1,True,True,True,False,False
6.0 Very GoodFrom 43 reviews,Willsmian,15000,6.0,Very Good,43,,,,,
9.1 ExcellentFrom 3 reviews,Stokol,25000,9.1,Excellent,3,True,False,True,True,True
,Hallerson,2500,,,,True,True,False,False,False
,Stokol,2500,,,,False,True,False,False,False
8.0 ExcellentFrom 6 reviews,Stokol,12000,8.0,Excellent,6,True,True,False,False,True
8.7 ExcellentFrom 7 reviews,Andeman,12500,8.7,Excellent,7,True,True,True,True,True
4.4 GoodFrom 1 review,Andeman,6700,4.4,Good,1,True,True,True,False,False
8.0 ExcellentFrom 1 review,Stokol,7000,8.0,Excellent,1,True,True,False,False,False
,Stokol,6000,,,,True,True,True,False,False
6.2 Very GoodFrom 13 reviews,Andeman,3500,6.2,Very Good,13,True,True,False,False,False
6.3 Very GoodFrom 8 reviews,Stokol,7000,6.3,Very Good,8,True,True,False,True,True
,Uberlandia,4500,,,,False,True,False,False,False
4.9 GoodFrom 4 reviews,Stokol,6000,4.9,Good,4,True,False,False,False,False
6.9 Very GoodFrom 10 reviews,Willsmian,18000,6.9,Very Good,10,False,True,False,False,False
7.1 Very GoodFrom 8 reviews,Machlessvile,6600,7.1,Very Good,8,True,True,False,True,False
,Andeman,53475,,,,,,,,
10.0 ExcellentFrom 1 review,Stokol,15000,10.0,Excellent,1,True,True,False,False,True
6.4 Very GoodFrom 1 review,Wanderland,10000,6.4,Very Good,1,,,,,
3.6 FairFrom 1 review,Andeman,3000,3.6,Fair,1,True,True,False,False,False
,Hallerson,7000,,,,True,True,True,False,False
7.6 Very GoodFrom 13 reviews,Uberlandia,20000,7.6,Very Good,13,True,True,False,True,True
7.2 Very GoodFrom 30 reviews,Hallerson,20000,7.2,Very Good,30,True,False,True,False,False
7.9 Very GoodFrom 24 reviews,Uberlandia,50000,7.9,Very Good,24,True,True,True,False,True
2.8 FairFrom 3 reviews,Wanderland,3000,2.8,Fair,3,True,True,False,False,False
,Stokol,50000,,,,True,False,False,False,False
From 1 review,Andeman,30000,,,1,True,True,False,True,True
7.7 Very GoodFrom 8 reviews,Ubisville,20000,7.7,Very Good,8,True,True,True,False,False
7.1 Very GoodFrom 7 reviews,Andeman,12500,7.1,Very Good,7,True,True,False,False,True
